source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Andrew Romanoff,,2020-03-07 12:19:54,"The first vote in the CO Senate race is just a few hours away. Caucus today & help us replace Cory Gardner with a progressive champion! Be there BEFORE 2PM to make sure you are registered in time. Still don't know your caucus location? Text ""caucus"" to 31996 or DM us!",76,71,,5,,,,8,244526776562537,/story.php?story_fbid=244526776562537&id=106980596149844
Andrew Romanoff,,2020-03-06 20:45:31,"Make your voice heard! Tomorrow at 2 pm, Democrats will caucus to decide who goes on the ballot. If you want clean air to breathe, clean water to drink, and a world where all children thrive, show up! Text ”caucus” to 31996.",45,43,,2,,,,1,1456614244519799,/story.php?story_fbid=1456614244519799&id=106980596149844
Andrew Romanoff,,2020-03-06 20:45:06,"Rallying the base before caucuses tomorrow! Thank you supporters in Old Colorado City, Highlands Ranch, Littleton, and Fort Collins for showing up!",60,57,,3,,,,3,1456613981186492,/story.php?story_fbid=1456613981186492&id=106980596149844
Andrew Romanoff,,2020-03-05 15:00:22,"Help Andrew get on the June 30th ballot by caucusing THIS Saturday at 2 p.m. To find your precinct Text ""Caucus"" 31996.",24,22,,2,,,,3,1455615257953031,/Romanoff2020/photos/a.176539715860598/1455615257953031
Andrew Romanoff,,2020-03-05 17:25:04,"If you want quality health care and a planet your children can live on, caucus for Andrew THIS Saturday, March 7th at 2pm! Text ""caucus"" to 31996 to find your caucus location.",59,50,,9,,,,5,1455697551278135,/Romanoff2020/photos/a.176539715860598/1455697551278135
Andrew Romanoff,,2020-03-05 13:22:09,,3,3,,,,,,,221730885644065,/events/221730885644065?view=permalink&id=221730888977398
Andrew Romanoff,,2020-03-04 19:47:01,,5,5,,,,,,,630332627757128,/events/630332627757128?view=permalink&id=630332634423794
Andrew Romanoff,,2020-03-04 16:30:41,,11,10,,1,,,,,204829190590498,/events/204829190590498?view=permalink&id=204829193923831
Andrew Romanoff,,2020-03-05 14:02:25,"Support our campaign and caucus on Saturday, March 7th, at your local precinct at 2 pm so that Andrew can get on the ballot. To get more information text ""caucus"" to 31996.",51,40,,11,,,,1,611485439583262,/story.php?story_fbid=611485439583262&id=106980596149844
Andrew Romanoff,,2020-03-04 14:51:44,"Thank you former Representative and labor leader Mike Cerbo for your work fighting for the working class. Please join Representative Cerbo and caucus THIS SATURDAY, March 7th, at 2 p.m. to get @Romanoff2020 on the June 30th ballot. #cosen",52,46,,6,,,,1,923601868097928,/story.php?story_fbid=923601868097928&id=106980596149844
Andrew Romanoff,,2020-03-03 18:31:32,,7,7,,,,,,,243136610045098,/events/243136610045098?view=permalink&id=243136613378431
Andrew Romanoff,,2020-03-03 16:10:32,Colorado! You have until 7PM tonight to turn in your ballot for the Democratic presidential primary. Find a dropbox or vote center near you:  ,49,45,,4,,,,5,1453945711453319,/Romanoff2020/photos/a.176539715860598/1453945711453319
Andrew Romanoff,,2020-03-02 19:50:16,,5,5,,,,,,,222000278930050,/events/222000278930050?view=permalink&id=222000298930048
Andrew Romanoff,,2020-03-02 18:14:31,,11,10,,1,,,,1,568013647391331,/events/568013647391331?view=permalink&id=568013654057997
Andrew Romanoff,,2020-03-02 16:31:42,"If you believe in the Green New Deal and Medicare for All, caucus for the candidate who can help make it a reality. TEXT ""Caucus"" to 31996.",101,81,1,18,,1,,5,1453120058202551,/Romanoff2020/photos/a.176539715860598/1453120058202551
Andrew Romanoff,,2020-03-02 13:13:22,The campaign is beyond grateful for the mass turn out at Andrew’s events over the last week. From a big turn out at an Indivisible meeting to more than a hundred at a house party in Louisville Friday night to 120 at a Denver caucus kick-off on Saturday afternoon.  Thank you for the grassroots support! As always all of our events are open to the public and posted on FB and our website.,54,50,,4,,,,,1452977524883471,/story.php?story_fbid=1452977524883471&id=106980596149844
Andrew Romanoff,,2020-03-01 08:58:17,Thank you @denver_turnverein for the great caucus kick-off! Text “caucus” at 31996 to find your precinct location and caucus for @romanoff2020 next Saturday 3-7!,37,32,,5,,,,2,1451995504981673,/story.php?story_fbid=1451995504981673&id=106980596149844
Andrew Romanoff,,2020-02-28 17:31:17,Thank you Sunrise Movement for hosting our town hall & leading the fight for a #GreenNewDeal—we are inspired by your movement! Join our campaign to replace Cory Gardner with a climate champion. Chip in before midnight Saturday:  https://secure.actblue.com/donate/romanoff-social-video,72,61,1,10,,,,1,1450526538461903,/story.php?story_fbid=1450526538461903&id=106980596149844
Andrew Romanoff,,2020-02-29 16:00:10,"We can't do this without your help! Please caucus for Andrew and help him get on the June 30th ballot! Text ""Caucus"" to 31996",71,68,,3,,,,9,1451356055045618,/Romanoff2020/photos/a.176539715860598/1451356055045618
Andrew Romanoff,,2020-02-28 14:53:01,Green New Deal Digital Town Hall with the Sunrise Movement Multistreaming with https://restream.io/?ref=O2gPY,31,23,,7,1,,,5,531691441103615,/story.php?story_fbid=531691441103615&id=106980596149844
Andrew Romanoff,,2020-02-28 14:53:01,I am live right now for a Green New Deal Digital Town Hall with @sunrisemvmt @sunrisemvmtco #COsen #COpolitics #GreenNewDeal,23,22,,1,,,,1,1450440721803818,/story.php?story_fbid=1450440721803818&id=106980596149844
Andrew Romanoff,,2020-02-27 18:21:36,"Want comprehensive immigration reform? Caucus for U.S. Senate candidate Andrew Romanoff on Saturday, March 7th at 2 pm. Read more about his robust reform here:  ",64,57,,7,,,,8,1449713791876511,/Romanoff2020/photos/a.176539715860598/1449713791876511
Andrew Romanoff,,2020-02-26 14:54:25,,4,4,,,,,,,628308204402865,/events/628308204402865?view=permalink&id=628308211069531
Andrew Romanoff,,2020-02-27 19:46:26,Please join Andrew and the Sunrise Movement TOMORROW at 1:00PM MST to talk about the most important issues facing Colorado and the rest of the country.,22,21,,1,,,,1,1449759691871921,/Romanoff2020/photos/a.176539715860598/1449759691871921
Andrew Romanoff,,2020-02-25 16:59:30,,,,,,,,,1,630113944228354,/events/630113944228354?view=permalink&id=630113947561687
Andrew Romanoff,,2020-02-27 17:24:22,Thank you for the warm welcome Morgan County! Weld County here we come.,86,78,,8,,,,1,1449683188546238,/story.php?story_fbid=1449683188546238&id=106980596149844
