source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
John W. Hickenlooper,,2020-03-07 14:15:45,"Happy caucus day from Team Hick! We're ready to take on Cory Gardner and bring much-needed change to Washington—and that starts with getting on the ballot. At a time when Washington is rife with division, John is the independent problem solver we need in the Senate. Climate change is the greatest threat of our time. John has a plan to reach net-zero carbon emissions by 2050, bring harmful climate emissions under control, and lead the world on this issue. Read more: https://medium.com/@hickenlooper/john-hickenloopers-plan-to-combat-climate-change-and-build-a-100-clean-economy-2ab33a66366a  Health care is a right, not a privilege. We need to cut costs, get to universal coverage by bringing a public option to the health insurance marketplace, and stop Republicans from gutting protections for preexisting conditions. We must end the stranglehold the special interests have on Washington. John is not taking a dime of corporate PAC money and will work to overturn Citizens United and shine a light on secret political spending in our elections. The gun violence epidemic in America must end. We need to pass common sense background checks on gun purchases, close the terrorist loophole, and keep guns out of the hands of convicted criminals, such as domestic abusers.  Caucuses start at 2:00pm TODAY! But we advise you get there a bit early. Find your location at https://www.coloradodems.org/2020-caucus-locations",62,42,14,5,0,1,0,17,10156794189596437,JohnHickenlooper,/story.php?story_fbid=10156794189596437&id=97493741436
John W. Hickenlooper,,2020-03-07 12:44:23,Senator Jessie Danielson has championed issues for working families and has been a leader in the fight to ensure equal pay for equal work. Proud to have Jessie on Team Hick. Remember to caucus today at 2:00! coloradodems.org/caucus,31,22,7,0,0,0,2,9,10156793964426437,JohnHickenlooper,/story.php?story_fbid=10156793964426437&id=97493741436
John W. Hickenlooper,,2020-03-07 10:52:34,"It's caucus day, Colorado! If you're a registered Democrat in CO, you can caucus TODAY at 2pm and help us get on the primary ballot!  We're building a movement to win this Senate seat and bring change to Washington. Join us. Find your caucus location ➡️",21,17,4,0,0,0,0,8,10156793733716437,JohnHickenlooper,/story.php?story_fbid=10156793733716437&id=97493741436
John W. Hickenlooper,,2020-03-06 19:59:05,"Caucus day is TOMORROW at 2pm (but get there a bit early!) To find your caucus location: 1. Find your voter registration at govotecolorado.com 2. Find your precinct number under ""County & District Information"" 3. Look up your precinct number at coloradodems.org/2020-caucus-locations/ See you tomorrow!",41,24,14,2,1,0,0,12,10156792348436437,JohnHickenlooper,/story.php?story_fbid=10156792348436437&id=97493741436
John W. Hickenlooper,,2020-03-06 18:06:39,"On Monday, Gabby Giffords is coming to Aurora to discuss how we can end gun violence. With help from Congresswoman Giffords, we took on the NRA in Colorado and passed gun safety legislation. Now it's time to take that fight to the U.S. Senate. Join us:",53,32,7,12,0,0,2,16,10156792127001437,JohnHickenlooper,/story.php?story_fbid=10156792127001437&id=97493741436
John W. Hickenlooper,,2020-03-06 15:29:37,"Chipeta was a respected leader and negotiator. She and her husband helped create the first treaty of Conejos, Colorado. The U.S. government forced the Utes out of Colorado in 1880. In 1985, Chipeta was inducted into the Colorado Women's Hall of Fame. #WomensHistoryMonth",196,163,1,30,1,1,0,14,10156791787791437,JohnHickenlooper,/story.php?story_fbid=10156791787791437&id=97493741436
John W. Hickenlooper,,2020-03-06 11:32:19,"""John Hickenlooper has a proven record of taking on the NRA — and winning. He expanded background checks for gun purchases and limited high capacity magazines here in Colorado — the sort of action we need nationwide.""  –Donna, Boulder  https://www.dailycamera.com/2020/03/03/letters-xcel-drags-its-feet-prairie-dog-management-violence-against-women-act/",116,74,32,9,0,0,1,57,10156791313856437,JohnHickenlooper,/story.php?story_fbid=10156791313856437&id=97493741436
John W. Hickenlooper,,2020-03-05 21:45:51,Meet Team Hick’s newest member! Caucus this Saturday at 2:00pm to help me get on the ballot so we can take back the Senate & fight for the next generation. https://secure.hickenlooper.com/page/s/pledge-to-caucus?source=tw-0305,198,155,8,32,1,1,1,25,10156790145801437,JohnHickenlooper,/story.php?story_fbid=10156790145801437&id=97493741436
John W. Hickenlooper,,2020-03-05 20:47:13,"I'm monitoring this closely and grateful for the doctors, nurses, and health officials who are working hard to keep our state healthy.  Please continue to practice prevention—avoid touching your face, wash your hands often, and stay home if you are sick.",35,25,2,0,1,7,0,11,10156790050421437,JohnHickenlooper,/story.php?story_fbid=10156790050421437&id=97493741436
John W. Hickenlooper,,2020-03-05 15:00:38,Outdoor recreation generates hundreds of thousands of jobs and billions of dollars for our state. The outdoors are essential to Colorado's identity. It's our responsibility to protect them.,40,29,7,3,1,0,0,7,10156789312056437,JohnHickenlooper,/story.php?story_fbid=10156789312056437&id=97493741436
John W. Hickenlooper,,2020-03-05 11:22:57,Proud to stand with our unions and our union members like Renee.,59,44,12,2,1,0,0,14,10156788896486437,JohnHickenlooper,/story.php?story_fbid=10156788896486437&id=97493741436
John W. Hickenlooper,,2020-03-04 21:17:40,Caucus day is just around the corner!  I need your help to get on the ballot so we can take back this Senate seat and get Washington on track. Commit to caucus this Saturday at 2:00pm: https://secure.hickenlooper.com/page/s/pledge-to-caucus?source=fb-0304,98,69,20,6,0,0,3,32,10156787771841437,JohnHickenlooper,/story.php?story_fbid=10156787771841437&id=97493741436
John W. Hickenlooper,,2020-03-04 20:25:07,Affordable and accessible health care is more important than ever. We have to expand access to health care—not rip it away.,86,60,15,1,3,6,1,31,10156787648776437,JohnHickenlooper,/story.php?story_fbid=10156787648776437&id=97493741436
John W. Hickenlooper,,2020-03-04 18:32:25,Steve Farber worked tirelessly for Colorado and cared deeply about our state. I'll always be grateful for the guidance he gave me. He was the best sounding board a person could have. Our hearts are with his family and friends. We'll miss him.,84,41,0,11,0,32,0,8,10156787435796437,JohnHickenlooper,/story.php?story_fbid=10156787435796437&id=97493741436
John W. Hickenlooper,,2020-03-04 16:19:23,"Next week Gabby Giffords will be coming to Colorado—and we want you to be there! Congresswoman Giffords has championed gun safety issues, and I'm honored to have her support. Register to join us in Aurora:",104,76,21,3,1,1,2,29,10156787100001437,JohnHickenlooper,/story.php?story_fbid=10156787100001437&id=97493741436
John W. Hickenlooper,,2020-03-04 15:02:54,"Washington Republicans are supporting a lawsuit that could strike down the entire Affordable Care Act. If they're successful, it could have disastrous consequences for Colorado. Colorado deserves a Senator who will work to expand access to health care, not take it away.",168,115,29,6,1,2,15,80,10156786883511437,JohnHickenlooper,/story.php?story_fbid=10156786883511437&id=97493741436
John W. Hickenlooper,,2020-03-04 13:18:35,Reproductive freedom is at risk thanks to Republicans packing our courts with anti-choice judges. This could mean the beginning of an end to Roe v. Wade. I’ll keep fighting to protect the right to choose & stand up to anyone who wants to take us backwards.‬,100,63,15,2,2,12,6,73,10156786686161437,JohnHickenlooper,/story.php?story_fbid=10156786686161437&id=97493741436
John W. Hickenlooper,,2020-03-03 23:28:19,Health care is on the ballot.,46,32,8,1,1,0,4,14,10156785424651437,JohnHickenlooper,/story.php?story_fbid=10156785424651437&id=97493741436
John W. Hickenlooper,,2020-03-03 21:40:41,Polls just closed for the presidential primary in Colorado—but the Senate race is just getting started. Caucuses are this weekend! Commit to caucus to help us get on the primary ballot:,27,14,13,0,0,0,0,9,10156785221511437,JohnHickenlooper,/story.php?story_fbid=10156785221511437&id=97493741436
John W. Hickenlooper,,2020-03-03 20:41:42,Great to talk with folks at the Anthem Ranch candidate forum last night. Together we'll win the election and get Washington to work for Colorado.,131,98,21,7,1,1,3,22,10156785098101437,JohnHickenlooper,/story.php?story_fbid=10156785098101437&id=97493741436
John W. Hickenlooper,,2020-03-03 19:20:12,Wishing everyone a wonderful #303Day!,67,62,5,0,0,0,0,9,10156784952116437,JohnHickenlooper,/story.php?story_fbid=10156784952116437&id=97493741436
John W. Hickenlooper,,2020-03-03 18:12:37,"Happy #SuperTuesday, Colorado! Remember to vote today—you can drop your ballot off or vote in person before 7:00PM. Learn more at http://govotecolorado.com/",63,49,9,4,1,0,0,9,10156784845211437,JohnHickenlooper,/story.php?story_fbid=10156784845211437&id=97493741436
John W. Hickenlooper,,2020-03-03 13:06:35,Thank you Representative Julie McCluskie—proud to have your support! I look forward to partnering with you to make progress for high country and the rest of our state.,90,70,14,5,0,1,0,16,10156784154631437,JohnHickenlooper,/story.php?story_fbid=10156784154631437&id=97493741436
John W. Hickenlooper,,2020-03-03 11:58:09,"Coronavirus is not a partisan issue, it's a public health issue.  Please wash your hands often, be prepared, and keep up to date on information from reliable sources.  Check CDC for more updates:",36,33,3,0,0,0,0,13,10156783973961437,JohnHickenlooper,/story.php?story_fbid=10156783973961437&id=97493741436
