source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Cindy Hyde-Smith,,2020-05-02 14:00:22,"Toyota will set up a mobile food pantry on May 6th at the Prentiss County AG Center in Booneville. Thank you, Toyota! SHARE to spread the word.",8,8,0,0,0,0,0,0,760630681411495,CindyHydeSmithMS,/story.php?story_fbid=760630681411495&id=179042532903649
Cindy Hyde-Smith,,2020-05-02 12:15:00,Restoring passenger rail service on the Mississippi Gulf Coast has been a long-held dream for the past 15 years. This service will bring both tourism and economic benefits to our state.,34,32,0,2,0,0,0,0,761285134679383,CindyHydeSmithMS,/story.php?story_fbid=761285134679383&id=179042532903649
Cindy Hyde-Smith,,2020-05-01 18:30:55,"$55.1 million from the Higher Education Emergency Relief (HEER) Fund authorized in the CARES Act has been allocated to Mississippi Historically Black Colleges and Universities (HBCUs). This is in addition to the $149.0 million allocated to support Mississippi colleges, universities and other schools during the COVID-19 emergency.",35,28,0,0,1,1,4,0,760627244745172,CindyHydeSmithMS,/story.php?story_fbid=760627244745172&id=179042532903649
Cindy Hyde-Smith,,2020-05-01 18:30:31,"Our Main Streets and medical professionals need litigation protection. We cannot let opportunistic trial lawyers file frivolous lawsuits at the expense of our small business owners, health care workers and front line heroes.",49,42,1,6,0,0,0,0,760631711411392,CindyHydeSmithMS,/story.php?story_fbid=760631711411392&id=179042532903649
"Cindy Hyde-Smith,Senate GOP",,2020-04-30 14:13:31,"Thank you to all of our essential workers who are working around the clock to keep this country going. #AmericaWorksTogether🇺🇸To all the men and women that are waking up every day to make sure America continues down the right path to recovery, thank you. These courageous, essential workers are the real heroes. #AmericaWorksTogether 🇺🇸",20,18,0,2,0,0,0,0,760641878077042,CindyHydeSmithMS,/story.php?story_fbid=760641878077042&id=179042532903649
Cindy Hyde-Smith,,2020-04-30 20:30:00,We must get our economy and country going again. We cannot depend on the government for everything.,72,64,0,8,0,0,0,0,759905964817300,CindyHydeSmithMS,/story.php?story_fbid=759905964817300&id=179042532903649
Cindy Hyde-Smith,,2020-04-30 13:30:38,While millions of Americans are unemployed and thousands more are still in hospitals the Democrats are focusing on scoring political points with unnecessary partisan committees. #Impeachment2.0,98,29,1,0,0,2,66,0,759803398160890,CindyHydeSmithMS,/story.php?story_fbid=759803398160890&id=179042532903649
Cindy Hyde-Smith,,2020-04-30 13:00:35,There's plenty to be done. I look forward to getting back to work for the people of Mississippi.,219,193,2,24,0,0,0,0,759316741542889,CindyHydeSmithMS,/story.php?story_fbid=759316741542889&id=179042532903649
Cindy Hyde-Smith,,2020-04-29 21:15:00,I'm honored to be endorsed by Susan B. Anthony List.  I'll never stop fighting to protect life at all stages.,292,250,1,41,0,0,0,0,759315801542983,CindyHydeSmithMS,/story.php?story_fbid=759315801542983&id=179042532903649
Cindy Hyde-Smith,,2020-04-29 20:30:05,"Many Americans lack access to reliable broadband, making virtual telehealth impossible, and they depend on these telephone-based services. Access to healthcare should not be determined by one's access to broadband when other approaches are available.",47,43,0,4,0,0,0,0,759314354876461,CindyHydeSmithMS,/story.php?story_fbid=759314354876461&id=179042532903649
Cindy Hyde-Smith,,2020-04-28 21:30:00,I will be joining Governor Reeves at his press conference tomorrow at  2:30 p.m. Please tune in and stay up to date with the latest guidelines.,238,224,1,10,0,0,3,0,758533671621196,CindyHydeSmithMS,/story.php?story_fbid=758533671621196&id=179042532903649
Cindy Hyde-Smith,,2020-04-28 17:45:02,The COVID-19 pandemic doesn’t eliminate the need for necessary infrastructure upgrades at local airports. These grants will help improve safety and efficiency at these facilities.,36,34,0,1,0,0,1,0,758523191622244,CindyHydeSmithMS,/story.php?story_fbid=758523191622244&id=179042532903649
Cindy Hyde-Smith,,2020-04-27 19:45:54,Please join me tomorrow morning at 9:30 a.m. for a Facebook Live with Y'all Politics.,27,26,0,1,0,0,0,0,757802638360966,CindyHydeSmithMS,/story.php?story_fbid=757802638360966&id=179042532903649
Cindy Hyde-Smith,,2020-04-27 17:15:11,China has been untruthful and unforthcoming since the beginning of this pandemic. We must hold them accountable for this cover up.,128,108,0,7,9,2,2,0,757800388361191,CindyHydeSmithMS,/story.php?story_fbid=757800388361191&id=179042532903649
Cindy Hyde-Smith,,2020-04-26 21:02:24,"Thank you to all of our health care workers who have been fighting this pandemic on the front lines. Please continue to pray for their strength, safety, and health.",97,93,0,4,0,0,0,0,757128965095000,CindyHydeSmithMS,/story.php?story_fbid=757128965095000&id=179042532903649
Cindy Hyde-Smith,,2020-04-26 19:00:46,To begin reopening the economy Governor Tate Reeves has signed a Safer at Home executive order. Please be aware of the updated guidelines. Please SHARE to spread the word. #InThisTogether,30,26,0,1,0,0,3,0,757124458428784,CindyHydeSmithMS,/story.php?story_fbid=757124458428784&id=179042532903649
Cindy Hyde-Smith,,2020-04-26 17:02:10,"""For the word of the LORD is right and true; he is faithful in all he does."" - Psalm 33:4",182,154,0,28,0,0,0,0,757123431762220,CindyHydeSmithMS,/story.php?story_fbid=757123431762220&id=179042532903649
Cindy Hyde-Smith,,2020-04-24 19:45:33,Thank you President Trump for your leadership and for continuing to have the back of the American worker.,105,97,1,7,0,0,0,0,755518198589410,CindyHydeSmithMS,/story.php?story_fbid=755518198589410&id=179042532903649
Cindy Hyde-Smith,,2020-04-24 16:45:22,This is a huge win for small public hospitals in Mississippi and across the country. These critical facilities are suffering financially under restrictions caused by COVID-19. This new funding can provide a lifeline to public hospitals.,82,75,0,7,0,0,0,0,755514711923092,CindyHydeSmithMS,/story.php?story_fbid=755514711923092&id=179042532903649
"Cindy Hyde-Smith,Senate GOP",,2020-04-24 13:22:59,"Relief is on the way! This critical funding will significantly help Mississippi small businesses, farmers, and hospitals.✓ SIGNED President Trump just signed Phase 3.5 of coronavirus relief legislation into law! Here's what it includes: + $310B to refill the small business Paycheck Protection Program + $75B for hospitals + $25B for testing More help is on the way.",20,18,0,2,0,0,0,0,755517555256141,CindyHydeSmithMS,/story.php?story_fbid=755517555256141&id=179042532903649
Cindy Hyde-Smith,,2020-04-23 20:00:56,I'm glad to see that this wonderful event is still taking place this year. Be sure to tune in and watch the Tupelo Elvis Festival virtually!,18,16,0,2,0,0,0,0,754801188661111,CindyHydeSmithMS,/story.php?story_fbid=754801188661111&id=179042532903649
Cindy Hyde-Smith,,2020-04-23 18:30:00,"Happy Birthday to the Army Reserves. Thank you for your courage, sacrifice, and dedication to our country. We are all grateful.",41,39,0,2,0,0,0,0,754804485327448,CindyHydeSmithMS,/story.php?story_fbid=754804485327448&id=179042532903649
Cindy Hyde-Smith,,2020-04-23 17:30:56,"Effective containment of the coronavirus will rely on more testing and tracing. The CDC is providing resources to states to use public health systems to accelerate this process, which will help move us to a point where we can safely reopen our economy.",58,56,0,2,0,0,0,0,754798945328002,CindyHydeSmithMS,/story.php?story_fbid=754798945328002&id=179042532903649
Cindy Hyde-Smith,,2020-04-22 19:45:43,Iran’s hostilities continue. I support the President’s efforts to hold them accountable.,506,457,1,47,1,0,0,0,754110818730148,CindyHydeSmithMS,/story.php?story_fbid=754110818730148&id=179042532903649
"Cindy Hyde-Smith,The White House",,2020-04-22 10:59:18,Critical funding to replenish the Paycheck Protection Program and bolster hospitals and testing passed the Senate last night.  It's time to get the deal done for America! 🇺🇸,24,23,1,0,0,0,0,0,754028678738362,CindyHydeSmithMS,/story.php?story_fbid=754028678738362&id=179042532903649
Cindy Hyde-Smith,,2020-04-22 16:00:30,"Recent storms and tornadoes have devastated a number of agriculture producers and private landowners in Mississippi. There is help available to Mississippians who lost cattle, chickens, timber, or farm-related infrastructure   through USDA authorized and funded programs.",31,26,0,0,0,5,0,0,753951735412723,CindyHydeSmithMS,/story.php?story_fbid=753951735412723&id=179042532903649
Cindy Hyde-Smith,,2020-04-22 14:30:36,"The longer the economic shutdown lasts, the more it becomes apparent that it is unsustainable. This legislation is intended to help us move toward a safe reopening of day-to-day commerce across the nation.",76,70,1,5,0,0,0,0,753950288746201,CindyHydeSmithMS,/story.php?story_fbid=753950288746201&id=179042532903649
Cindy Hyde-Smith,,2020-04-21 17:00:48,My prayers are with the communities and families affected by this tornado. I have no doubt that Mississippians will overcome these hardships together.,63,33,0,2,0,28,0,0,753164888824741,CindyHydeSmithMS,/story.php?story_fbid=753164888824741&id=179042532903649
Cindy Hyde-Smith,,2020-04-21 14:00:00,Thank you President Trump and Secretary Perdue for standing by our farmers and ranchers. I look forward to continuing to work together as this program is implemented. (Source WTVA),33,32,0,1,0,0,0,0,753163062158257,CindyHydeSmithMS,/story.php?story_fbid=753163062158257&id=179042532903649
Cindy Hyde-Smith,,2020-04-21 13:00:44,Our agriculture and livestock producers share in the extraordinary hard times facing our nation today. The Coronavirus Food Assistance Program will help support these operations and the products they produce to feed and clothe Americans.,70,67,0,3,0,0,0,0,753160268825203,CindyHydeSmithMS,/story.php?story_fbid=753160268825203&id=179042532903649
Cindy Hyde-Smith,,2020-04-20 20:15:32,Mississippi has lost one of her finest ambassadors. Thanks for all of the joy and laughter throughout the years.,232,106,0,5,2,119,0,0,752632372211326,CindyHydeSmithMS,/story.php?story_fbid=752632372211326&id=179042532903649
Cindy Hyde-Smith,,2020-04-19 13:00:10,"""For the message of the cross is foolishness to those who are perishing, but to us who are being saved it is the power of God."" - 1 Corinthians 1:18",201,165,1,35,0,0,0,0,750338362440727,CindyHydeSmithMS,/story.php?story_fbid=750338362440727&id=179042532903649
Cindy Hyde-Smith,,2020-04-18 18:00:36,We must resist the push by political opportunists to loosen abortion restrictions.,249,220,2,26,0,0,1,0,751090359032194,CindyHydeSmithMS,/story.php?story_fbid=751090359032194&id=179042532903649
Cindy Hyde-Smith,,2020-04-18 13:30:16,"I will continue to work with the Army Corps, EPA, and Mississippians to support this effort, and to ensure the Army Corps has the resources needed to complete all the necessary reviews to get the backwater pumps back on track.",86,84,0,2,0,0,0,0,750337409107489,CindyHydeSmithMS,/story.php?story_fbid=750337409107489&id=179042532903649
Cindy Hyde-Smith,,2020-04-17 20:00:03,I appreciate President Trump’s determination to safely open and restart the American economy. I am grateful for this opportunity to be of service to the nation and to Mississippians.,393,323,1,69,0,0,0,0,750335309107699,CindyHydeSmithMS,/story.php?story_fbid=750335309107699&id=179042532903649
Cindy Hyde-Smith,,2020-04-17 17:00:22,"What a kind act of generosity. Thank you, Sheron.",144,126,0,16,2,0,0,0,750144862460077,CindyHydeSmithMS,/story.php?story_fbid=750144862460077&id=179042532903649
Cindy Hyde-Smith,,2020-04-17 13:00:44,If you are interested in helping those affected by the recent storms please see this article for reference. Share this post to help spread the word. #InThisTogether,13,13,0,0,0,0,0,0,750142842460279,CindyHydeSmithMS,/story.php?story_fbid=750142842460279&id=179042532903649
Cindy Hyde-Smith,,2020-04-16 18:45:19,Roger Wicker will do an excellent job in this role. Mississippians and all Americans will benefit from his professionalism and leadership.,101,95,1,4,0,0,1,0,749567825851114,CindyHydeSmithMS,/story.php?story_fbid=749567825851114&id=179042532903649
Cindy Hyde-Smith,,2020-04-16 15:30:09,Democrats have put politics over people and our Main Streets deserve better. Last week the Senate GOP was ready to approve additional aid but the Democrats blocked the funding. They are holding our small businesses hostage.,84,43,1,1,0,14,25,0,749489815858915,CindyHydeSmithMS,/story.php?story_fbid=749489815858915&id=179042532903649
Cindy Hyde-Smith,,2020-04-15 22:00:48,I am proud to have sponsored this letter. We cannot allow pro-abortion groups and their supporters to expand abortion access during this pandemic. I urge the FDA to enforce the regulations for medication abortion and end the attempts to undermine these important protections.,234,200,3,30,0,0,1,0,748877632586800,CindyHydeSmithMS,/story.php?story_fbid=748877632586800&id=179042532903649
Cindy Hyde-Smith,,2020-04-15 19:00:15,Please take a look at the Federal Rural Resources Guide released by the USDA. This guide can help connect you with support available throughout the Covid-19 crisis. SHARE to help inform other rural Mississippians.,3,3,0,0,0,0,0,0,748771625930734,CindyHydeSmithMS,/story.php?story_fbid=748771625930734&id=179042532903649
Cindy Hyde-Smith,,2020-04-15 17:30:01,The amount of devastation caused by this storm is hard to fathom. I want to thank Tate Reeves and Michael Guest  for their work in helping all Mississippians affected. We will get through this. (Video Source WDAM),46,42,0,3,0,1,0,0,748739095933987,CindyHydeSmithMS,/story.php?story_fbid=748739095933987&id=179042532903649
Cindy Hyde-Smith,,2020-04-14 20:30:58,What a memorable and heartfelt way to celebrate such a meaningful milestone during these difficult times. Happy 100th Birthday Catherine!,78,69,0,9,0,0,0,0,747987412675822,CindyHydeSmithMS,/story.php?story_fbid=747987412675822&id=179042532903649
Cindy Hyde-Smith,,2020-04-14 18:45:42,USMI has earned a solid reputation in support of our national defense. This contract is excellent news for the Gulf Coast.,45,41,0,3,0,1,0,0,747986006009296,CindyHydeSmithMS,/story.php?story_fbid=747986006009296&id=179042532903649
Cindy Hyde-Smith,,2020-04-13 14:30:10,"This funding will cover healthcare expenses or lost revenue associated with testing and treating coronavirus patients. These payments will help hospitals and providers, especially those in rural areas, treat the uninsured without taking a financial hit.",39,37,0,2,0,0,0,0,747022709438959,CindyHydeSmithMS,/story.php?story_fbid=747022709438959&id=179042532903649
Cindy Hyde-Smith,,2020-04-13 12:30:01,All of Mississippi is praying for those affected by these tragic storms. Mississippians will rally behind these communities and we will get through this together.,110,59,0,1,0,50,0,0,746967416111155,CindyHydeSmithMS,/story.php?story_fbid=746967416111155&id=179042532903649
Cindy Hyde-Smith,,2020-04-12 12:00:01,HE IS RISEN! Wishing you all a happy and blessed Easter.,138,121,0,17,0,0,0,0,746129262861637,CindyHydeSmithMS,/story.php?story_fbid=746129262861637&id=179042532903649
Cindy Hyde-Smith,,2020-04-10 16:45:56,Thank you Dr. Robertson for creating this innovative ventilator. If needed these last resort ventilators could save numerous lives. LIKE and SHARE to say thank you!,10,9,0,1,0,0,0,0,744627989678431,CindyHydeSmithMS,/story.php?story_fbid=744627989678431&id=179042532903649
Cindy Hyde-Smith,,2020-04-10 15:45:44,Wet markets are breeding grounds for the kind of disastrous diseases that kill tens of thousands of people around the world. COVID-19 is just the latest and most severe example. We should do everything possible to stop this cycle of disease and death.,101,97,0,3,0,0,1,0,744710816336815,CindyHydeSmithMS,/story.php?story_fbid=744710816336815&id=179042532903649
Cindy Hyde-Smith,,2020-04-10 13:15:01,"Remember, God is in control. Have a blessed Good Friday.",76,57,0,18,0,1,0,0,744626799678550,CindyHydeSmithMS,/story.php?story_fbid=744626799678550&id=179042532903649
Cindy Hyde-Smith,,2020-04-09 17:45:00,May you and your family have a blessed Maundy Thursday.,73,67,0,6,0,0,0,0,744010389740191,CindyHydeSmithMS,/story.php?story_fbid=744010389740191&id=179042532903649
Cindy Hyde-Smith,,2020-04-09 17:15:24,Queen Reward Meadery is using their brewing still to produce much needed hand sanitizer. Mississippians continue to rise to the occasion in the time of need. LIKE and SHARE to say thank you!,19,17,0,2,0,0,0,0,743274146480482,CindyHydeSmithMS,/story.php?story_fbid=743274146480482&id=179042532903649
Cindy Hyde-Smith,,2020-04-09 15:30:00,We must prioritize our rural hospitals and make this funding available immediately to provide relief to our struggling health care providers.,67,63,0,4,0,0,0,0,743935659747664,CindyHydeSmithMS,/story.php?story_fbid=743935659747664&id=179042532903649
Cindy Hyde-Smith,,2020-04-09 12:30:14,"While Easter will be different for all of us this year, I love seeing our communities make the best of these difficult times. COMMENT to let me know your Easter plans. #InThisTogether",9,9,0,0,0,0,0,0,743272376480659,CindyHydeSmithMS,/story.php?story_fbid=743272376480659&id=179042532903649
Cindy Hyde-Smith,,2020-04-08 19:45:01,Thank you Southern Miss and all of those involved in creating these much needed respirator masks. LIKE and SHARE to thank USM for this innovative solution!,56,47,0,9,0,0,0,0,743267756481121,CindyHydeSmithMS,/story.php?story_fbid=743267756481121&id=179042532903649
Cindy Hyde-Smith,,2020-04-08 15:45:47,"Our community health centers are on the front lines of testing and treating patients for COVID-19.  As this disease affects more Mississippians, the pressure on these centers will only increase. These grants represent an initial distribution of federal funding to support their work in these challenging times. LIKE and SHARE to spread the word.",44,41,0,2,0,0,1,0,743261409815089,CindyHydeSmithMS,/story.php?story_fbid=743261409815089&id=179042532903649
Cindy Hyde-Smith,,2020-04-07 18:35:00,On World Health Day we say thank you to all of our healthcare professionals who are on the front lines fighting this invincible enemy. Thank you for your dedication and service. LIKE and SHARE to say thank you!,21,19,0,2,0,0,0,0,742666553207908,CindyHydeSmithMS,/story.php?story_fbid=742666553207908&id=179042532903649
Cindy Hyde-Smith,,2020-04-07 15:45:18,Thank you to the North MS Medical Mask Makers. This volunteer group of over 300 is sewing masks for our health care professionals.,112,100,0,12,0,0,0,0,741978343276729,CindyHydeSmithMS,/story.php?story_fbid=741978343276729&id=179042532903649
Cindy Hyde-Smith,,2020-04-07 12:15:34,Seniors who are Medicare beneficiaries are especially vulnerable to the coronavirus. We must make sure they are protected and receiving the care they need.,84,78,0,6,0,0,0,0,741977409943489,CindyHydeSmithMS,/story.php?story_fbid=741977409943489&id=179042532903649
Cindy Hyde-Smith,,2020-04-06 20:15:14,What a beautiful tribute. Thank you to our first responders and all of our health care professionals. LIKE and SHARE to show your support to those on the front lines of this crisis!,18,16,0,2,0,0,0,0,741976279943602,CindyHydeSmithMS,/story.php?story_fbid=741976279943602&id=179042532903649
Cindy Hyde-Smith,,2020-04-06 18:45:00,Happy National Student Athlete Day to all of our Mississippi students who excel on the field and in the classroom. We are all looking forward to getting you back on the field ASAP! LIKE and SHARE to support our outstanding student athletes.,7,7,0,0,0,0,0,0,741975289943701,CindyHydeSmithMS,/story.php?story_fbid=741975289943701&id=179042532903649
Cindy Hyde-Smith,,2020-04-05 14:35:00,Let us not forget that God is in control. Hosanna to the King! #PalmSunday,155,139,1,15,0,0,0,0,741180980023132,CindyHydeSmithMS,/story.php?story_fbid=741180980023132&id=179042532903649
Cindy Hyde-Smith,,2020-04-04 13:00:10,I commend the Navy for its foresight in advancing this contract work. The economic disruption caused by COVID-19 cannot be allowed to threaten our national security or the industries that supply the products that keep our fighting forces well-equipped.,107,104,0,3,0,0,0,0,740349266772970,CindyHydeSmithMS,/story.php?story_fbid=740349266772970&id=179042532903649
Cindy Hyde-Smith,,2020-04-03 18:00:00,As we begin to shelter-in-place this evening remember these essential businesses and services will remain open. Let us stay vigilant in these times. We are all in this together. #StayHomeStaySafe,75,74,0,1,0,0,0,0,739802123494351,CindyHydeSmithMS,/story.php?story_fbid=739802123494351&id=179042532903649
"Cindy Hyde-Smith,Senate GOP",,2020-04-03 09:22:38,🚨 ATTENTION 🚨 Today is the FIRST DAY small businesses can apply for cash flow assistance under the Paycheck Protection Program. These loans will be FORGIVEN IN FULL so long as they are used to keep workers on payroll.  🌐 Visit → http://sba.gov for more.,4,4,0,0,0,0,0,0,739602696847627,CindyHydeSmithMS,/story.php?story_fbid=739602696847627&id=179042532903649
Cindy Hyde-Smith,,2020-04-02 17:00:29,These payments provide Mississippi counties with national forest acreage some certainty in these unsettled times along with additional resources to put toward schools and public works.,68,67,0,1,0,0,0,0,739080570233173,CindyHydeSmithMS,/story.php?story_fbid=739080570233173&id=179042532903649
Cindy Hyde-Smith,,2020-04-02 14:25:21,Mississippians continue to come together in a time of need. Thank you to all of those who are volunteering and helping our medical professionals on the front lines. LIKE and SHARE to say thank you!,17,14,0,3,0,0,0,0,739008283573735,CindyHydeSmithMS,/story.php?story_fbid=739008283573735&id=179042532903649
Cindy Hyde-Smith,,2020-04-01 17:30:17,Today Governor Reeves ordered a statewide shelter-in-place. Please be aware of the updated guidelines throughout our state and remember we are all in this together. Stay home and stay safe. #SlowTheSpreadhttps,38,38,0,0,0,0,0,0,738419590299271,CindyHydeSmithMS,/story.php?story_fbid=738419590299271&id=179042532903649
Cindy Hyde-Smith,,2020-04-01 15:15:01,What a creative and fun way to spend time with your children while practicing social distancing. I love seeing how our communities are coming together. #InThisTogether,32,31,0,1,0,0,0,0,738343186973578,CindyHydeSmithMS,/story.php?story_fbid=738343186973578&id=179042532903649
Cindy Hyde-Smith,,2020-04-01 14:32:45,Blue Delta Jean Co. has retooled their entire factory to produce protective masks. Mississippians have always come together to support one another in a time of need. Like and Share to thank Blue Delta Jeans for representing the best of the Mississippi spirit.,100,85,0,15,0,0,0,0,738339486973948,CindyHydeSmithMS,/story.php?story_fbid=738339486973948&id=179042532903649
Cindy Hyde-Smith,,2020-04-01 12:15:00,"Today is Census Day, please fill out the census and make sure you're counted! You can find more information here: https://my2020census.gov/ #IveBeenCounted",8,8,0,0,0,0,0,0,738255283649035,CindyHydeSmithMS,/story.php?story_fbid=738255283649035&id=179042532903649
Cindy Hyde-Smith,,2020-03-31 20:30:00,Please support our small and local businesses anyway you can. SHARE this post to remind your friends!,11,11,0,0,0,0,0,0,737797770361453,CindyHydeSmithMS,/story.php?story_fbid=737797770361453&id=179042532903649
Cindy Hyde-Smith,,2020-03-30 18:00:23,"I'm proud that President Trump has nominated Judge Cory T. Wilson and Kristi H. Johnson to serve on the Federal Bench. They are outstanding legal minds and will represent the court, and Mississippi, well.",92,90,0,2,0,0,0,0,737027113771852,CindyHydeSmithMS,/story.php?story_fbid=737027113771852&id=179042532903649
Cindy Hyde-Smith,,2020-03-30 15:30:00,Thank you to all of our doctors and health care workers. Please take a moment to thank and pray for them as they fight this crisis. SHARE to thank those on the front lines. #NationalDoctorsDay,35,29,0,6,0,0,0,0,736958583778705,CindyHydeSmithMS,/story.php?story_fbid=736958583778705&id=179042532903649
Cindy Hyde-Smith,,2020-03-29 21:35:00,Today we thank and honor those who served in the Vietnam War. Your sacrifice and service will not be forgotten. SHARE to thank a Vietnam Veteran.,29,25,0,4,0,0,0,0,736376957170201,CindyHydeSmithMS,/story.php?story_fbid=736376957170201&id=179042532903649
Cindy Hyde-Smith,,2020-03-29 14:15:43,"""The LORD is my strength and my defense ; he has become my salvation."" - Psalm 118:14",99,81,0,18,0,0,0,0,736161543858409,CindyHydeSmithMS,/story.php?story_fbid=736161543858409&id=179042532903649
Cindy Hyde-Smith,,2020-03-28 14:15:00,Thank you to the Gallo Show for having me on yesterday morning. You can listen to the full interview below.,10,10,0,0,0,0,0,0,735394310601799,CindyHydeSmithMS,/story.php?story_fbid=735394310601799&id=179042532903649
Cindy Hyde-Smith,,2020-03-27 16:30:00,A friendly reminder Tax Day has moved to July 15. SHARE to remind your friends!,18,16,0,2,0,0,0,0,734713344003229,CindyHydeSmithMS,/story.php?story_fbid=734713344003229&id=179042532903649
Cindy Hyde-Smith,,2020-03-26 13:30:32,"Unfortunately the abortion lobby is exploiting the #COVID19 pandemic in an attempt to expand its reach, claiming that mothers should have chemical abortions at home & that we have to use aborted baby parts to find a vaccine. Get the facts & #ChooseHope.",26,8,0,0,4,7,7,0,733808670760363,CindyHydeSmithMS,/story.php?story_fbid=733808670760363&id=179042532903649
"Cindy Hyde-Smith,Senate GOP",,2020-03-25 18:45:20,✓ PASSED : 𝙏𝙝𝙚 𝘾𝘼𝙍𝙀𝙎 𝘼𝙘𝙩 This is immediate *emergency relief* for all Americans. Here's what it does 👇 + Sends $$$ to middle-class Americans + Helps small businesses keep employees & stay open + Keeps workers protected + Supports hospitals &  health care professionals + Stands up the economy,17,17,0,0,0,0,0,0,733746810766549,CindyHydeSmithMS,/story.php?story_fbid=733746810766549&id=179042532903649
Cindy Hyde-Smith,,2020-03-25 22:20:00,"We're going to be able to feed this country, but only if we keep the farmers in business. (Source: Delta Fox 10)",71,69,0,2,0,0,0,0,733321200809110,CindyHydeSmithMS,/story.php?story_fbid=733321200809110&id=179042532903649
Cindy Hyde-Smith,,2020-03-25 16:00:01,Let us take a moment to recognize the heroism and sacrifice of those who have gone beyond the call of duty. We are forever grateful. LIKE and SHARE to honor our heroes. #NationalMedalofHonorDay,26,20,0,6,0,0,0,0,733091614165402,CindyHydeSmithMS,/story.php?story_fbid=733091614165402&id=179042532903649
Cindy Hyde-Smith,,2020-03-25 15:30:18,My prayers are with those affected by the tornado in Tishomingo. Even in these trying times I know that Mississippians will come together to support one another.,24,15,0,2,1,6,0,0,733090677498829,CindyHydeSmithMS,/story.php?story_fbid=733090677498829&id=179042532903649
Cindy Hyde-Smith,,2020-03-24 17:15:00,Our farmers are on the front lines ensuring the U.S. food supply chain stays strong. To all of the farmers who keep the world fed: Thank you. Like and SHARE to thank a farmer.,51,45,0,6,0,0,0,0,732420574232506,CindyHydeSmithMS,/story.php?story_fbid=732420574232506&id=179042532903649
Cindy Hyde-Smith,,2020-03-24 15:30:44,It's disappointing to see Nancy Pelosi and Democrats try to use this crisis to push through a liberal wish list of radical policy ideas that would otherwise never pass. We should focus on immediately getting aid to American workers and small businesses that need help to weather this crisis. Like and Share if you agree.,173,126,1,2,2,8,34,0,732358270905403,CindyHydeSmithMS,/story.php?story_fbid=732358270905403&id=179042532903649
Cindy Hyde-Smith,,2020-03-24 15:15:15,I'm thankful for President Trump's leadership through this crisis. His administration has taken strong and decisive action to fight this virus and protect our economy. Read this article to learn more about everything that's being done.,122,115,0,6,0,0,1,0,732350384239525,CindyHydeSmithMS,/story.php?story_fbid=732350384239525&id=179042532903649
Cindy Hyde-Smith,,2020-03-23 20:45:33,"We are going to be able to feed this country, but only if we keep the farmers in business. We must make sure our farmers and ranchers can continue to do what they were born to do, and that is to produce our ag products to make sure this country will continue to sustain itself.",136,127,0,8,1,0,0,0,731781074296456,CindyHydeSmithMS,/story.php?story_fbid=731781074296456&id=179042532903649
Cindy Hyde-Smith,,2020-03-23 17:30:29,"After we worked in a bi-partisan fashion to draft an emergency relief bill, Democrats have decided to block relief to American workers, loans to struggling businesses, and aid to hospitals in order to add on a totally unrelated wish list of radical liberal priorities. This is completely unacceptable. Like and Share to demand that Dems act now to get this relief bill passed.",220,121,0,1,5,17,76,0,731662164308347,CindyHydeSmithMS,/story.php?story_fbid=731662164308347&id=179042532903649
Cindy Hyde-Smith,,2020-03-23 15:00:18,"The stress on rural hospitals was critical before the coronavirus hit, and that stress will only get worse going forward. This new legislation is specifically-intended to help hospitals and other providers to stay open as the pandemic runs its course.",96,87,0,9,0,0,0,0,731574534317110,CindyHydeSmithMS,/story.php?story_fbid=731574534317110&id=179042532903649
"Cindy Hyde-Smith,Senate GOP",,2020-03-23 12:05:08,✓ PHASE 1: Passed March 5 ✓ PHASE 2: Passed March 18 ✖ PHASE 3: Delayed by Democrats The American people need action NOW. We’re all in this together.,23,21,0,0,0,2,0,0,731544590986771,CindyHydeSmithMS,/story.php?story_fbid=731544590986771&id=179042532903649
Cindy Hyde-Smith,,2020-03-23 12:15:00,Our local businesses are the backbone of our communities and Main Streets across Mississippi. LIKE and SHARE if you support small business!,56,55,0,1,0,0,0,0,731473494327214,CindyHydeSmithMS,/story.php?story_fbid=731473494327214&id=179042532903649
Cindy Hyde-Smith,,2020-03-22 18:35:56,My prayers are with my colleague Senator Rand Paul. I wish him a swift and safe recovery. We must all do our part in slowing the spread of this virus. We are all in this together. #StopTheSpread,115,102,1,1,0,11,0,0,730945947713302,CindyHydeSmithMS,/story.php?story_fbid=730945947713302&id=179042532903649
Cindy Hyde-Smith,,2020-03-22 14:00:20,Governor Reeves has announced disaster assistance for small businesses impacted by COVID-19. Small business owners can immediately start the process and apply for the assistance below.,28,28,0,0,0,0,0,0,730757887732108,CindyHydeSmithMS,/story.php?story_fbid=730757887732108&id=179042532903649
Cindy Hyde-Smith,,2020-03-22 13:00:00,During this time our communities need one another more than ever. Please continue to support your local businesses. Like and Share if you agree!,33,32,0,1,0,0,0,0,730706334403930,CindyHydeSmithMS,/story.php?story_fbid=730706334403930&id=179042532903649
Cindy Hyde-Smith,,2020-03-22 12:30:43,"""One thing I ask from the LORD, this only do I seek: that I may dwell in the house of the LORD all the days of my life, to gaze on the beauty of the LORD and to seek him in his temple."" - Psalm 27:4",231,197,0,34,0,0,0,0,730729101068320,CindyHydeSmithMS,/story.php?story_fbid=730729101068320&id=179042532903649
